,gene_ID,average_log2FoldChange,adjpval
gene-LOC100334952,LOC100334952,-1.511273545,0
gene-si:dkey-192l18.10,si:dkey-192l18.10,-2.059633938,0
gene-nrn1a,nrn1a,-1.840174807,0.000679092
gene-fam69c,fam69c,-2.36044285,4.34E-08
gene-LOC100536359,LOC100536359,-1.81386611,2.72E-11
gene-cidea,cidea,-1.9574124,0.000444733
gene-LOC110438346,LOC110438346,-2.167590304,0
gene-inhbaa,inhbaa,-1.701331364,0
gene-wdr37,wdr37,-1.533777954,0
gene-adarb2,adarb2,-1.914511246,0
gene-pfkpa,pfkpa,-3.200930509,0
gene-LOC108181502,LOC108181502,-1.626459645,0.001031873
gene-pimr63,pimr63,-3.456001069,0
gene-trpc1,trpc1,-3.808211382,0
gene-pimr64,pimr64,-3.441843437,0
gene-apbb1ip,apbb1ip,-1.723748335,0.001964445
gene-unm_sa821,unm_sa821,-1.602068266,0.011766845
gene-enkur,enkur,-1.855753953,0
gene-LOC101882553,LOC101882553,-2.718974998,0.000665139
gene-si:ch211-271e10.1,si:ch211-271e10.1,-2.81379434,0
gene-actr3b,actr3b,-1.946821859,0
gene-kmt2ca,kmt2ca,-1.670608744,0
gene-LOC100535694,LOC100535694,-4.12374615,0
gene-LOC100332505,LOC100332505,1.559543402,0
gene-pxdc1b,pxdc1b,-1.682729929,7.50E-11
gene-sbspon,sbspon,-2.132792845,1.46E-07
gene-eya1,eya1,-1.963738276,1.07E-06
gene-prdm14,prdm14,-1.832214063,0
gene-gdap1,gdap1,-2.672940733,3.74E-06
gene-cbln2b,cbln2b,-3.041668088,3.37E-07
gene-armc3,armc3,-5.03542449,0
gene-msrb2,msrb2,-2.192795623,2.31E-09
gene-spag6,spag6,-5.200404458,0
gene-pdia4,pdia4,1.552961128,0
gene-plcd1a,plcd1a,-2.703304189,4.29E-14
gene-dlec1,dlec1,-1.734045105,0
gene-si:ch211-161h7.8,si:ch211-161h7.8,-2.432546696,0.000209837
gene-kpna1,kpna1,-1.505149393,0
gene-LOC101884469,LOC101884469,-2.426991133,1.63E-13
gene-tagln3b,tagln3b,-1.625171271,2.99E-09
gene-ropn1l,ropn1l,-2.621708382,0
gene-ankrd33ba,ankrd33ba,-3.83123095,1.09E-05
gene-zfhx4,zfhx4,-1.527792368,1.15E-13
gene-mcmdc2,mcmdc2,-1.682137114,0
gene-ppp1r42,ppp1r42,-1.57079049,0
gene-chodl,chodl,-2.626846147,8.34E-06
gene-pcyt1ba,pcyt1ba,-3.9041765,0
gene-pdk3a,pdk3a,-2.184011939,0
gene-adgrg2a,adgrg2a,-2.961124209,0
gene-phex,phex,1.862958975,0
gene-chrnd,chrnd,-3.451225997,0.00030651
gene-tfr1b,tfr1b,1.559532071,0.001116349
gene-LOC100148041,LOC100148041,-1.848863272,6.35E-06
gene-apodb,apodb,-2.243616998,0
gene-slc7a14b,slc7a14b,-1.744925638,0.016850783
gene-lrrc34,lrrc34,-3.605379579,0
gene-zgc:194621,zgc:194621,-1.945959455,1.10E-13
gene-nceh1b.1,nceh1b.1,-1.76700129,8.19E-13
gene-ccl34b.4,ccl34b.4,-1.818151988,0.006371199
gene-LOC101883694,LOC101883694,-2.703862613,0.009316247
gene-col11a1a,col11a1a,-2.19518462,0
gene-f3a,f3a,-2.344966405,5.65E-09
gene-cremb,cremb,-2.831063187,0
gene-LOC562466,LOC562466,-2.634869555,0.000513098
gene-si:ch73-78o10.1,si:ch73-78o10.1,1.892292602,0
gene-steap2,steap2,-2.145431516,1.30E-05
gene-c1ql3a,c1ql3a,-1.698248578,0.001783604
gene-ccdc129,ccdc129,-1.640344007,0
gene-ptchd3a,ptchd3a,-1.837465047,2.14E-06
gene-LOC110438357,LOC110438357,-2.548058332,5.69E-14
gene-cavin4b,cavin4b,-2.346474892,0.000759477
gene-dnah5l,dnah5l,-3.759539207,0
gene-asb10,asb10,-2.291180677,0.001226703
gene-cebpd,cebpd,-1.516404755,0
gene-ccdc178,ccdc178,-3.401373227,0
gene-klhl14,klhl14,-1.868725583,1.11E-05
gene-dtna,dtna,-2.268109636,3.35E-08
gene-LOC110438360,LOC110438360,-2.713206056,1.07E-05
gene-si:ch211-253b1.3,si:ch211-253b1.3,-1.688080697,8.46E-12
gene-dcakd,dcakd,-2.634738479,1.16E-08
gene-LOC101882128,LOC101882128,-2.46710513,0
gene-LOC110438363,LOC110438363,-2.265727972,4.00E-05
gene-LOC101882555,LOC101882555,-2.661038806,0
gene-LOC110438361,LOC110438361,-3.187888845,0.010185867
gene-dnaaf3,dnaaf3,-3.338629088,0
gene-dnaaf3l,dnaaf3l,-2.844554281,0
gene-nlrc3,nlrc3,-3.568860741,2.01E-15
gene-si:ch211-183d21.3,si:ch211-183d21.3,-2.271640228,6.14E-07
gene-rhbdl1,rhbdl1,-3.042811669,0
gene-h1f0,h1f0,-3.237081851,0
gene-anks3,anks3,-2.166569566,0
gene-ccdc78,ccdc78,-4.334893599,0
gene-igic1s1,igic1s1,-3.026879667,0.026426649
gene-LOC570021,LOC570021,-3.633035305,6.58E-13
gene-lrrc4bb,lrrc4bb,-2.712749178,1.83E-14
gene-LOC101882154,LOC101882154,-2.88533295,1.34E-07
gene-spsb3b,spsb3b,-2.145178847,0
gene-dnah3,dnah3,-2.580328156,0
gene-cox6b1,cox6b1,-1.597989023,0
gene-LOC101885876,LOC101885876,-2.335342421,0
gene-LOC100004944,LOC100004944,1.637391622,5.55E-08
gene-scospondin,scospondin,-1.536903906,0
gene-tmem200c,tmem200c,-1.858025861,1.52E-07
gene-LOC110438376,LOC110438376,-2.546684294,6.62E-06
gene-LOC101886261,LOC101886261,-3.131842651,0
gene-LOC100538179,LOC100538179,-1.669401361,0
gene-LOC110438373,LOC110438373,-2.432040298,0.001320273
gene-si:ch1073-385f13.3,si:ch1073-385f13.3,-1.84702693,2.51E-05
gene-nell2a,nell2a,-3.001201857,4.45E-13
gene-LOC108181592,LOC108181592,-3.392462901,7.57E-13
gene-cln6b,cln6b,-1.930769523,0
gene-coro2bb,coro2bb,-2.314403889,0
gene-avpr1aa,avpr1aa,-2.084590884,0.005871298
gene-LOC100332592,LOC100332592,-2.126775939,1.10E-08
gene-fbln1,fbln1,-3.710263711,0
gene-wnt7bb,wnt7bb,-1.924437594,7.45E-10
gene-pparab,pparab,-3.228413531,3.46E-11
gene-best1,best1,-2.879256313,4.09E-08
gene-fth1b,fth1b,-1.822589079,0
gene-si:ch211-272n13.3,si:ch211-272n13.3,-1.532327993,0
gene-gpr22b,gpr22b,-2.211933013,0.021783405
gene-prkar2b,prkar2b,-2.054146082,9.87E-11
gene-cecr5,cecr5,-2.33169308,0
gene-cd151,cd151,-1.616217358,0
gene-ppp1r32,ppp1r32,-5.427230408,0
gene-lrrc10b,lrrc10b,-2.358239528,4.52E-14
gene-si:dkey-201c1.2,si:dkey-201c1.2,-1.531012338,0
gene-pnpla2,pnpla2,-2.231539262,3.93E-12
gene-cdhr5b,cdhr5b,-2.237973733,6.15E-05
gene-myo5c,myo5c,-1.886067144,0
gene-gnb5a,gnb5a,-2.607593565,0
gene-si:ch73-66d24.2,si:ch73-66d24.2,-5.295223945,0
gene-LOC100535191,LOC100535191,-2.273245602,0
gene-LOC103909809,LOC103909809,-1.818404433,0
gene-ap3b2,ap3b2,-3.428330523,1.12E-12
gene-c25h12orf75,c25h12orf75,-3.211373246,7.83E-12
gene-crabp1a,crabp1a,-2.064862856,8.03E-05
gene-syt12,syt12,-1.875548595,0.000262467
gene-cdkn1cb,cdkn1cb,-1.751711682,0
gene-kcnj11l,kcnj11l,-2.102915368,0
gene-mdkb,mdkb,-2.162306033,1.16E-05
gene-tph1a,tph1a,1.900961563,0
gene-muc5.1,muc5.1,-2.126127795,0
gene-cox8b,cox8b,-1.526880517,0
gene-si:ch211-107e6.5,si:ch211-107e6.5,-4.080096848,0
gene-sv2bb,sv2bb,-2.150604045,0
gene-ccl39.9,ccl39.9,-2.247834734,1.43E-05
gene-si:ch211-194m7.4,si:ch211-194m7.4,-2.000961922,1.71E-08
gene-si:dkeyp-50b9.1,si:dkeyp-50b9.1,-6.695987716,0
gene-ccdc113,ccdc113,-2.785235398,0
gene-ccdc135,ccdc135,-4.033422166,0
gene-lcat,lcat,-2.498030283,0
gene-mapk8ip1a,mapk8ip1a,-1.715969763,0
gene-chst1,chst1,-2.891211089,4.83E-11
gene-zgc:86725,zgc:86725,-1.567631371,0
gene-shank2,shank2,-1.957418668,0.000140592
gene-pax6a,pax6a,-4.37374961,0
gene-kiaa1549la,kiaa1549la,-2.412169345,2.18E-13
gene-olfml1,olfml1,-1.709456789,0.019044078
gene-galnt8a.1,galnt8a.1,-3.411824332,1.72E-07
gene-ribc2,ribc2,-3.428015509,6.63E-14
gene-dyrk4,dyrk4,-2.716620378,0
gene-LOC103909838,LOC103909838,-1.76559073,0.007186988
gene-fgf6a,fgf6a,1.599520648,0
gene-tigara,tigara,-1.784054943,0
gene-cyp2x7,cyp2x7,3.030411258,0
gene-si:dkey-44k1.5,si:dkey-44k1.5,-2.31653356,0
gene-mmp15a,mmp15a,-1.502135687,0
gene-si:ch211-176l24.4,si:ch211-176l24.4,-1.796025846,0
gene-dusp6,dusp6,-1.552288682,0
gene-si:dkeyp-93a5.2,si:dkeyp-93a5.2,-2.019764858,6.57E-06
gene-si:dkeyp-93a5.3,si:dkeyp-93a5.3,-2.553947775,8.11E-16
gene-LOC103909845,LOC103909845,-2.486743372,0.022182897
gene-LOC103909841,LOC103909841,-2.391306601,2.29E-06
gene-cax2,cax2,-3.099459302,1.64E-09
gene-parietopsin,parietopsin,-2.464399166,0
gene-tdg.2,tdg.2,-1.535612531,0
gene-efcab6,efcab6,-3.09612003,0
gene-isg20,isg20,2.528755803,0
gene-cacna2d4b,cacna2d4b,-1.546275523,0
gene-abhd2b,abhd2b,-3.387241302,0
gene-hapln3,hapln3,-1.539284427,0.032938114
gene-mfge8b,mfge8b,-1.916157929,0
gene-map1ab,map1ab,-3.11534463,0
gene-sycp3,sycp3,-2.192481622,0
gene-celsr1b,celsr1b,-3.368807976,0
gene-bpgm,bpgm,-1.549732166,0
gene-erc1a,erc1a,-2.211213198,0.000532485
gene-lrrn3a,lrrn3a,-2.246872717,5.49E-06
gene-ush1c,ush1c,-3.673920937,0.006312687
gene-si:dkeyp-19e1.3,si:dkeyp-19e1.3,2.068188811,0.000294444
gene-tmem86a,tmem86a,-5.154965545,0
gene-ccl35.2,ccl35.2,-4.975574024,6.03E-07
gene-si:ch211-103e16.5,si:ch211-103e16.5,-2.254210496,0
gene-si:dkey-42p14.3,si:dkey-42p14.3,-2.741612813,4.22E-07
gene-iqub,iqub,-3.366984645,0
gene-LOC107197950,LOC107197950,-3.925176965,5.62E-10
gene-agbl2,agbl2,-3.375540655,0
gene-si:ch211-147k10.5,si:ch211-147k10.5,-1.523691727,1.06E-07
gene-hsd17b12a,hsd17b12a,1.807961974,0
gene-si:ch1073-281m9.1,si:ch1073-281m9.1,-1.830708154,2.80E-15
gene-tnni2a.4,tnni2a.4,-1.851273316,0.039596379
gene-tnni2a.2,tnni2a.2,-2.54196402,0.008371721
gene-myod1,myod1,-1.70054823,0.024669866
gene-si:ch73-330k17.3,si:ch73-330k17.3,-2.681776729,0.000354102
gene-scamp5a,scamp5a,-2.457486212,3.95E-08
gene-duox2,duox2,-1.739084624,0.038944349
gene-zgc:101540,zgc:101540,-2.638600529,0
gene-slc27a2b,slc27a2b,-1.697113256,0
gene-atp8b4,atp8b4,-4.522026094,0
gene-isl2a,isl2a,-2.858471271,9.66E-09
gene-c2cd4a,c2cd4a,1.650602065,0
gene-LOC100006250,LOC100006250,-3.494487493,4.08E-16
gene-LOC100535415,LOC100535415,-1.5272659,0.004988584
gene-LOC108181654,LOC108181654,-1.629929226,0
gene-si:dkey-261m9.6,si:dkey-261m9.6,1.757770316,8.16E-14
gene-LOC562630,LOC562630,-2.093575372,0
gene-si:dkey-108k21.18,si:dkey-108k21.18,1.834194339,1.18E-05
gene-zgc:113983,zgc:113983,1.53652422,0
gene-si:dkey-108k21.19,si:dkey-108k21.19,1.500307221,2.11E-11
gene-si:dkey-108k21.26,si:dkey-108k21.26,1.814883613,0.035065931
gene-ano5a,ano5a,-2.204794531,0
gene-si:ch211-87j1.4,si:ch211-87j1.4,-1.98406696,0.017317255
gene-kif21a,kif21a,-2.214801511,8.38E-13
gene-snx20,snx20,-2.305505054,0.000595992
gene-sall1b,sall1b,-1.768222779,3.19E-15
gene-rbl2,rbl2,-1.641595634,4.12E-13
gene-si:ch211-113a14.7,si:ch211-113a14.7,1.910763194,1.10E-06
gene-si:ch211-113a14.11,si:ch211-113a14.11,2.10809898,0.000276726
gene-tdrd12,tdrd12,-1.712757786,1.61E-05
gene-urahb,urahb,1.65754343,5.28E-07
gene-si:dkey-234i14.3,si:dkey-234i14.3,-2.419937933,7.23E-05
gene-pamr1,pamr1,-1.728056558,0
gene-ric3b,ric3b,-2.660645098,0
gene-LOC101886884,LOC101886884,-1.924143655,0.008338564
gene-LOC100331080,LOC100331080,-1.820225978,8.32E-08
gene-LOC108182214,LOC108182214,-2.80202465,4.52E-08
gene-LOC100537389,LOC100537389,-1.694502287,0.002126455
gene-LOC101883706,LOC101883706,-2.404477534,8.05E-14
gene-LOC101884441,LOC101884441,-2.855115743,1.46E-05
gene-LOC101886697,LOC101886697,-2.55784187,0.013681778
gene-thbs1a,thbs1a,-1.789496427,0
gene-ift122,ift122,-1.56862052,0.000443573
gene-LOC101886002,LOC101886002,-1.882596131,0
gene-LOC101883154,LOC101883154,-1.91731183,0
gene-LOC110438463,LOC110438463,-2.383377911,3.81E-06
gene-shroom3-2,shroom3,-1.620695935,3.39E-07
gene-LOC100330990,LOC100330990,-3.306986902,0
gene-LOC101885942,LOC101885942,-3.091660963,2.01E-07
gene-LOC101885457,LOC101885457,-3.309266437,5.53E-09
gene-LOC103911530,LOC103911530,-3.558323564,0
gene-cfap44,cfap44,-2.620044075,0
gene-LOC103911664,LOC103911664,-3.191028887,0
gene-LOC100535166,LOC100535166,-1.812295489,2.87E-06
gene-st6galnac2,st6galnac2,-3.09614819,0.01066938
gene-LOC110438462,LOC110438462,-1.704455294,3.69E-12
gene-LOC100536698,LOC100536698,-1.709320453,0.001077562
gene-sema6a,sema6a,-1.834687706,1.34E-05
gene-LOC100536939,LOC100536939,-3.043381324,8.98E-05
gene-LOC100333051,LOC100333051,-2.309193819,0.005575406
gene-LOC110438425,LOC110438425,-1.665474022,0.0045237
gene-LOC100330136,LOC100330136,-1.749907104,0.023618476
gene-LOC100535428,LOC100535428,-1.631557967,0
gene-LOC100537452,LOC100537452,-2.700341001,0.002305057
gene-LOC100537803,LOC100537803,-1.874107031,0
gene-LOC110438464,LOC110438464,-1.699718488,0
gene-LOC101886038,LOC101886038,-3.241813235,0.043859564
gene-LOC100535852,LOC100535852,-2.291537637,0
gene-LOC101883087,LOC101883087,-2.958103884,6.64E-06
gene-LOC100538266,LOC100538266,-2.612357773,0
gene-LOC110438504,LOC110438504,-4.046790492,0.017274717
gene-LOC101882435,LOC101882435,-4.251909552,0
gene-zgc:165507,zgc:165507,-2.570390284,0
gene-LOC101885764,LOC101885764,-2.268174923,0.035188138
gene-LOC101883590,LOC101883590,-2.6484125,1.35E-10
gene-erp27,erp27,-2.203414495,7.91E-06
gene-bglapl,bglapl,-2.578957311,7.21E-11
gene-LOC101884676,LOC101884676,-2.880555182,1.80E-05
gene-sema6a-2,sema6a,-1.879025477,9.76E-09
gene-LOC101884632,LOC101884632,1.669549329,0
gene-LOC100535592,LOC100535592,-2.775980521,0
gene-LOC100535622,LOC100535622,-2.313096442,0
gene-LOC100334014,LOC100334014,-3.51826176,1.65E-06
gene-dok3,dok3,-1.932908536,0.005269182
gene-slc9a3r1b,slc9a3r1b,-2.364074608,7.49E-06
gene-LOC103910736,LOC103910736,-3.317390919,0.020253636
gene-fam135b,fam135b,-2.037789344,0.000152212
gene-LOC101886774,LOC101886774,-1.739445354,5.19E-12
gene-LOC100537640,LOC100537640,-1.71315381,0
gene-LOC101884057,LOC101884057,-2.016302054,0.001080805
gene-LOC103909948,LOC103909948,-2.123939033,0.003085617
gene-rasal1,rasal1,-2.282193523,0.000611864
gene-LOC103909917,LOC103909917,-2.374992631,0.009474341
gene-LOC103911683,LOC103911683,-2.752283125,0
gene-LOC110438475,LOC110438475,-3.329670144,9.32E-14
gene-LOC110438438,LOC110438438,-2.155255298,4.96E-07
gene-wu:fj30f06,wu:fj30f06,-1.827674269,0
gene-LOC101883269,LOC101883269,-2.174405029,0.000124193
gene-khdrbs3,khdrbs3,-2.366879106,0.027244658
gene-LOC100333871,LOC100333871,-1.936837875,0.022882501
gene-cyp1c1,cyp1c1,-2.252668707,0
gene-LOC100536453,LOC100536453,-2.179301656,0.000211263
gene-LOC100333826,LOC100333826,-2.151667135,0
gene-LOC108182684,LOC108182684,-3.052797434,0.000289693
gene-ccpg1-2,ccpg1,-1.947764053,0
gene-LOC110437844,LOC110437844,1.564021554,0
gene-ptprd,ptprd,-1.572390536,0
gene-LOC103911601,LOC103911601,-3.205010093,0
gene-LOC101883513,LOC101883513,-1.521825336,1.17E-06
gene-LOC110438479,LOC110438479,-2.347700804,0
gene-arhgap6-2,arhgap6,-1.863362237,0.011822037
gene-LOC100534673,LOC100534673,-2.314519557,7.21E-05
gene-zgc:162239-2,zgc:162239,-4.292756731,0
gene-LOC101886807,LOC101886807,-4.129493229,8.37E-09
gene-actn2a,actn2a,-2.354495546,0.000193515
gene-LOC101882312,LOC101882312,-2.047003619,8.35E-08
gene-LOC101886933,LOC101886933,-2.291012815,1.73E-08
gene-fzd4,fzd4,-1.819868154,0
gene-si:dkey-71b5.6,si:dkey-71b5.6,-1.663354857,0
gene-LOC100330243,LOC100330243,-1.550297449,0
gene-LOC103910580,LOC103910580,-1.857104377,0.00035728
gene-LOC110438541,LOC110438541,1.5398398,0
gene-LOC100536630,LOC100536630,-2.605368856,0.016616195
gene-scarb2b,scarb2b,-2.332546766,0
gene-hdgfrp3,hdgfrp3,-1.704243591,1.20E-06
gene-wu:fa56d06,wu:fa56d06,-1.663852914,3.13E-09
gene-LOC110438550,LOC110438550,-2.6633477,0.000134881
gene-LOC103910981,LOC103910981,-3.10770624,0
gene-LOC108181756,LOC108181756,-4.795235989,0.001574843
gene-LOC108182171,LOC108182171,-1.727221107,0.048278734
gene-LOC103910984,LOC103910984,-2.891405748,0.000919163
gene-LOC103910988,LOC103910988,-3.694300545,2.50E-07
gene-LOC101883543,LOC101883543,-4.249162608,2.41E-07
gene-si:ch211-160d14.6-2,si:ch211-160d14.6,-2.987385169,5.32E-11
gene-zgc:153118-2,zgc:153118,-1.638323352,0
gene-abcg2b-2,abcg2b,-2.461374027,5.32E-08
gene-fscn1b-2,fscn1b,-2.440819205,5.13E-09
gene-si:ch211-14k19.8-2,si:ch211-14k19.8,-2.560332326,0
gene-ern2-2,ern2,-2.445693653,2.23E-06
gene-tmem55bb-2,tmem55bb,2.002409553,7.34E-08
gene-LOC100004921-2,LOC100004921,-3.131616855,2.30E-12
gene-LOC100004978-2,LOC100004978,-1.549288747,0.003503188
gene-LOC108189417,LOC108189417,-2.125818328,4.53E-11
gene-LOC108185170-2,LOC108185170,-1.935155305,0.000310949
gene-slc25a4-2,slc25a4,-2.74265317,5.61E-10
gene-tmem192-2,tmem192,-2.326633424,0
gene-si:dkey-82j4.2-2,si:dkey-82j4.2,-1.734760527,1.52E-08
gene-prss12-2,prss12,-2.114046383,0.023959683
gene-tll1-2,tll1,-3.816039281,1.96E-07
gene-cpe-2,cpe,-2.08067425,4.08E-16
gene-frmpd1-2,frmpd1,-1.958743448,0.003678373
gene-zmynd10-2,zmynd10,-4.262091085,0
gene-dnah6-2,dnah6,-4.431528918,0
gene-sfrp2-2,sfrp2,-3.554712215,0.008403105
gene-lrata-2,lrata,-1.729504892,1.09E-07
gene-map9-2,map9,-1.807033735,0
gene-pwp2h-2,pwp2h,-2.757932606,0
gene-si:dkey-22o12.2-2,si:dkey-22o12.2,-1.943113482,0.000205615
gene-LOC110438573,LOC110438573,-2.697263454,5.98E-08
gene-kcnq5b-2,kcnq5b,-2.415964698,2.76E-06
gene-klf5a-2,klf5a,-2.727594859,5.03E-05
gene-smad1-2,smad1,-3.746833711,4.08E-16
gene-si:ch211-113e8.9-2,si:ch211-113e8.9,-2.652090205,0.037132189
gene-atp11a-2,atp11a,-2.586171501,9.79E-11
gene-LOC100330916-2,LOC100330916,-3.157578218,4.00E-11
gene-LOC108179692-2,LOC108179692,-2.0488172,5.18E-10
gene-pde4ca-2,pde4ca,-2.887437709,5.19E-11
gene-hbl2-2,hbl2,-1.831448659,6.50E-05
gene-apol1-2,apol1,-1.694713882,0.021685376
gene-pcp4l1-2,pcp4l1,-2.559777946,0
gene-trim110-2,trim110,-2.609106082,0
gene-sall2-2,sall2,-2.128908018,0
gene-si:ch211-119o8.6-2,si:ch211-119o8.6,2.396404144,9.54E-14
gene-rbp1-2,rbp1,1.668629563,0
gene-zgc:136870-2,zgc:136870,-2.70790245,0.000660184
gene-slc25a36a-2,slc25a36a,-6.710266693,7.80E-11
gene-basp1-2,basp1,-2.729872502,1.35E-06
gene-oc90-2,oc90,-2.545461294,0
gene-kcnq3-2,kcnq3,-2.54048823,6.35E-05
gene-cadm3-2,cadm3,-3.101849633,0
gene-atp1a2a-2,atp1a2a,-1.835827087,0.023764843
gene-si:ch211-66k16.27-2,si:ch211-66k16.27,-1.618316944,0.016558681
gene-klf6b-2,klf6b,-2.330664964,0.000496058
gene-si:ch211-106n13.3-2,si:ch211-106n13.3,-3.515726493,1.61E-12
gene-si:dkey-254e1.1-2,si:dkey-254e1.1,-3.065597877,0
gene-si:ch211-8c17.3-2,si:ch211-8c17.3,-2.5520542,2.89E-08
gene-LOC101882181-2,LOC101882181,-3.157152437,1.26E-05
gene-LOC799194-2,LOC799194,-1.850196125,0.026990233
gene-LOC101882898-2,LOC101882898,-2.403954466,6.32E-08
gene-si:dkey-93n13.3-2,si:dkey-93n13.3,-2.242783441,0
gene-eps8l1-2,eps8l1,-4.80436206,0
gene-sepw2b-2,sepw2b,4.258877682,1.04E-06
gene-cldni-2,cldni,-7.661706762,1.50E-12
gene-coro1a-2,coro1a,-1.585184553,0
gene-paqr4a-2,paqr4a,-5.092317699,0
gene-si:ch73-248e21.1-2,si:ch73-248e21.1,2.208560507,4.78E-06
gene-rcn3-2,rcn3,2.147976295,0.00533383
gene-si:ch73-248e21.7-2,si:ch73-248e21.7,-2.353564271,0.028491496
gene-zgc:153733-2,zgc:153733,2.539758082,1.04E-07
gene-si:dkey-16l2.20-2,si:dkey-16l2.20,-1.888179438,1.95E-07
gene-si:dkey-120c6.5-2,si:dkey-120c6.5,-1.732484989,0.024979961
gene-si:ch211-114m9.1-2,si:ch211-114m9.1,-1.726561806,0.012525774
gene-LOC100538283-2,LOC100538283,-1.876955585,7.38E-14
gene-znf1024-2,znf1024,-1.548034937,3.61E-08
gene-znf1124-2,znf1124,-1.861497216,5.50E-14
gene-gpr85-2,gpr85,-1.881480371,1.56E-14
gene-si:ch211-157e21.2-2,si:ch211-157e21.2,-2.21783931,0
gene-elk3-2,elk3,-2.94781181,5.73E-08
gene-ccdc3a-2,ccdc3a,1.652215553,0.007363128
gene-si:ch211-240l19.6-2,si:ch211-240l19.6,-1.780757094,0.009523063
gene-meig1-2,meig1,-2.420794391,0
gene-shank3b-2,shank3b,-2.584605585,1.68E-08
gene-tspan9b-2,tspan9b,-6.56411674,0
gene-LOC110438623,LOC110438623,-1.739999901,0.038877406
gene-LOC110438630,LOC110438630,-1.712146233,0
gene-asb13a.1-2,asb13a.1,-1.784589353,6.70E-15
gene-zgc:195175-2,zgc:195175,-4.271636407,2.63E-14
gene-acot15-2,acot15,-1.973069676,7.41E-14
gene-b4galnt3a-2,b4galnt3a,2.341435284,1.13E-05
gene-LOC100536213-2,LOC100536213,-3.47244392,0.00864599
gene-fam19a5a-2,fam19a5a,-1.789049233,0.001186502
gene-LOC110438633-2,LOC110438633,-2.187255475,5.22E-05
gene-si:dkey-61p9.7-2,si:dkey-61p9.7,1.885254977,4.31E-06
gene-si:ch211-283g2.2-2,si:ch211-283g2.2,-2.030434164,1.47E-11
gene-agpat9l-2,agpat9l,-2.830016961,2.09E-06
gene-LOC100002472-2,LOC100002472,-3.85647753,0.02482788
gene-si:ch211-155m12.5-2,si:ch211-155m12.5,-2.46288532,0
gene-si:ch73-266o15.4-2,si:ch73-266o15.4,-2.734280699,5.15E-15
gene-amer1-2,amer1,3.918271518,0.000277868
gene-asb12a-2,asb12a,-4.331470141,0.026493173
gene-mtnr1c-2,mtnr1c,-4.675133964,2.68E-11
gene-LOC103908724,LOC103908724,-1.510844261,0
gene-si:dkeyp-86b9.5-2,si:dkeyp-86b9.5,2.188692326,0
gene-LOC108190082-2,LOC108190082,1.941379831,1.12E-05
gene-tnc-2,tnc,-2.703820866,9.95E-05
gene-stxbp1b-2,stxbp1b,-3.759659872,1.51E-13
gene-spaca9-2,spaca9,-4.422978947,0
gene-ak8-2,ak8,-4.080346001,0
gene-cfap77-2,cfap77,-4.276073899,2.15E-09
gene-thy1-2,thy1,2.940867892,0
gene-f11r.1-2,f11r.1,1.56571428,0
gene-ftr83-2,ftr83,-2.075780811,1.96E-09
gene-sh3glb2b-2,sh3glb2b,-5.675064923,1.15E-09
gene-zgc:103692-2,zgc:103692,5.085139306,0.012323362
gene-dab2ipb-2,dab2ipb,-2.056302142,0.007026261
gene-tnpo1-2,tnpo1,1.607815117,1.98E-06
gene-fbp1b-2,fbp1b,9.082939183,1.06E-05
gene-LOC100005337-2,LOC100005337,-1.698864476,0.000494693
gene-ophn1-2,ophn1,-1.639846075,0
gene-efnb1-2,efnb1,-2.859424887,2.41E-11
gene-il13ra2-2,il13ra2,1.508048481,1.31E-12
gene-tmprss4b-2,tmprss4b,2.22762931,0
gene-si:ch211-284e13.4-2,si:ch211-284e13.4,-2.182127114,5.46E-06
gene-chrne-2,chrne,-2.528242914,9.34E-05
gene-pld2-2,pld2,-2.572096969,0.000487139
gene-antxr2a-2,antxr2a,-1.945704499,5.72E-05
gene-si:ch211-57h10.1-2,si:ch211-57h10.1,-4.669480459,0
gene-bmp3-2,bmp3,-2.651532902,1.18E-08
gene-arl15a-2,arl15a,-2.768174808,2.84E-09
gene-fsta-2,fsta,-3.579681228,0
gene-wdr66-2,wdr66,-3.019957878,1.78E-06
gene-npr3-2,npr3,-1.561130912,1.06E-06
gene-LOC103911103-2,LOC103911103,-2.018070587,0
gene-dmrt1-2,dmrt1,-1.52195114,0
gene-dmrt3a-2,dmrt3a,-4.449784438,0.000102567
gene-zgc:194398-2,zgc:194398,-2.188726676,7.88E-05
gene-ccdc180-2,ccdc180,-4.230209395,0
gene-rasgrf2b-2,rasgrf2b,-3.644599525,4.08E-16
gene-fzd9a-2,fzd9a,-1.680765463,9.51E-07
gene-pja2-2,pja2,1.545814715,0
gene-sik2a-2,sik2a,2.732607268,0
gene-si:dkey-27p23.3-2,si:dkey-27p23.3,-2.43066658,0
gene-mcama-2,mcama,-1.641014767,0
gene-prkrip1-2,prkrip1,1.512081984,1.15E-10
gene-gtf2ird1-2,gtf2ird1,-1.692823663,0
gene-cfap157-2,cfap157,-2.596061876,1.30E-13
gene-sh2d3cb-2,sh2d3cb,-1.717885823,1.92E-13
gene-setd8b-2,setd8b,1.564671723,2.75E-08
gene-ccdc88aa-2,ccdc88aa,-4.081513556,0
gene-dzip1-2,dzip1,-2.560332862,0
gene-sox21a-2,sox21a,1.818308958,0
gene-ccdc65-2,ccdc65,-5.000832486,0
gene-arf3b-2,arf3b,-2.116146536,0.001891512
gene-ccdc151-2,ccdc151,-5.535559987,0
